state,year,quarter,brand,user_count
Delhi,2019,4,Xiaomi,1872284
Delhi,2019,4,Samsung,1394404
Delhi,2019,4,Vivo,1114120
Delhi,2019,4,Oppo,825921
Delhi,2019,4,Apple,414754
Delhi,2019,4,Realme,300540
Delhi,2019,4,Motorola,217242
Delhi,2019,4,OnePlus,216727
Delhi,2019,4,Huawei,134371
Delhi,2019,4,Lenovo,121793
Delhi,2019,4,Others,677727
Delhi,2019,2,Xiaomi,1597465
Delhi,2019,2,Samsung,1188974
Delhi,2019,2,Vivo,879650
Delhi,2019,2,Oppo,664693
Delhi,2019,2,Apple,360575
Delhi,2019,2,Realme,240746
Delhi,2019,2,Motorola,200193
Delhi,2019,2,OnePlus,191881
Delhi,2019,2,Lenovo,115488
Delhi,2019,2,Huawei,114662
Delhi,2019,2,Others,611121
Delhi,2019,3,Xiaomi,1749719
Delhi,2019,3,Samsung,1305636
Delhi,2019,3,Vivo,1001823
Delhi,2019,3,Oppo,749989
Delhi,2019,3,Apple,392389
Delhi,2019,3,Realme,269723
Delhi,2019,3,Motorola,210710
Delhi,2019,3,OnePlus,206752
Delhi,2019,3,Huawei,125962
Delhi,2019,3,Lenovo,119861
Delhi,2019,3,Others,649722
Delhi,2019,1,Xiaomi,1428603
Delhi,2019,1,Samsung,1061515
Delhi,2019,1,Vivo,755967
Delhi,2019,1,Oppo,576484
Delhi,2019,1,Apple,324092
Delhi,2019,1,Realme,213758
Delhi,2019,1,Motorola,186450
Delhi,2019,1,OnePlus,175334
Delhi,2019,1,Lenovo,109111
Delhi,2019,1,Huawei,102139
Delhi,2019,1,Others,565810
Delhi,2020,4,Xiaomi,2416705
Delhi,2020,4,Samsung,1842707
Delhi,2020,4,Vivo,1673743
Delhi,2020,4,Oppo,1209582
Delhi,2020,4,Apple,518592
Delhi,2020,4,Realme,452392
Delhi,2020,4,OnePlus,256533
Delhi,2020,4,Motorola,246834
Delhi,2020,4,Huawei,168898
Delhi,2020,4,Lenovo,134947
Delhi,2020,4,Others,827035
Delhi,2020,2,Xiaomi,2125586
Delhi,2020,2,Samsung,1585854
Delhi,2020,2,Vivo,1364186
Delhi,2020,2,Oppo,1002444
Delhi,2020,2,Apple,458450
Delhi,2020,2,Realme,366179
Delhi,2020,2,OnePlus,233802
Delhi,2020,2,Motorola,231246
Delhi,2020,2,Huawei,150807
Delhi,2020,2,Lenovo,127388
Delhi,2020,2,Others,745197
Delhi,2020,3,Xiaomi,2264717
Delhi,2020,3,Samsung,1707446
Delhi,2020,3,Vivo,1516602
Delhi,2020,3,Oppo,1106202
Delhi,2020,3,Apple,485868
Delhi,2020,3,Realme,406930
Delhi,2020,3,OnePlus,244532
Delhi,2020,3,Motorola,238737
Delhi,2020,3,Huawei,159503
Delhi,2020,3,Lenovo,131036
Delhi,2020,3,Others,782601
Delhi,2020,1,Xiaomi,1998766
Delhi,2020,1,Samsung,1484289
Delhi,2020,1,Vivo,1238728
Delhi,2020,1,Oppo,909331
Delhi,2020,1,Apple,436979
Delhi,2020,1,Realme,333567
Delhi,2020,1,OnePlus,225852
Delhi,2020,1,Motorola,223909
Delhi,2020,1,Huawei,142660
Delhi,2020,1,Lenovo,124278
Delhi,2020,1,Others,707838
Delhi,2022,1,Xiaomi,3155264
Delhi,2022,1,Vivo,2586749
Delhi,2022,1,Samsung,2320460
Delhi,2022,1,Oppo,1817979
Delhi,2022,1,Realme,964540
Delhi,2022,1,Apple,761100
Delhi,2022,1,OnePlus,404741
Delhi,2022,1,Motorola,252427
Delhi,2022,1,Tecno,206904
Delhi,2022,1,Huawei,164421
Delhi,2022,1,Others,904612
Delhi,2021,4,Xiaomi,3028207
Delhi,2021,4,Vivo,2413197
Delhi,2021,4,Samsung,2238115
Delhi,2021,4,Oppo,1697646
Delhi,2021,4,Realme,840595
Delhi,2021,4,Apple,705541
Delhi,2021,4,OnePlus,369158
Delhi,2021,4,Motorola,250976
Delhi,2021,4,Tecno,176336
Delhi,2021,4,Huawei,166930
Delhi,2021,4,Others,898426
Delhi,2021,2,Xiaomi,2731995
Delhi,2021,2,Samsung,2070161
Delhi,2021,2,Vivo,2011494
Delhi,2021,2,Oppo,1432860
Delhi,2021,2,Realme,596308
Delhi,2021,2,Apple,591905
Delhi,2021,2,OnePlus,291216
Delhi,2021,2,Motorola,252565
Delhi,2021,2,Huawei,176234
Delhi,2021,2,Lenovo,134680
Delhi,2021,2,Others,893281
Delhi,2021,3,Xiaomi,2897206
Delhi,2021,3,Vivo,2220413
Delhi,2021,3,Samsung,2149622
Delhi,2021,3,Oppo,1566918
Delhi,2021,3,Realme,707377
Delhi,2021,3,Apple,631640
Delhi,2021,3,OnePlus,331920
Delhi,2021,3,Motorola,250528
Delhi,2021,3,Huawei,172290
Delhi,2021,3,Tecno,148235
Delhi,2021,3,Others,903912
Delhi,2021,1,Xiaomi,2575350
Delhi,2021,1,Samsung,1963994
Delhi,2021,1,Vivo,1839180
Delhi,2021,1,Oppo,1318743
Delhi,2021,1,Apple,555462
Delhi,2021,1,Realme,511070
Delhi,2021,1,OnePlus,269742
Delhi,2021,1,Motorola,253270
Delhi,2021,1,Huawei,175712
Delhi,2021,1,Lenovo,137068
Delhi,2021,1,Others,867619
Delhi,2018,4,Xiaomi,1206379
Delhi,2018,4,Samsung,892643
Delhi,2018,4,Vivo,605041
Delhi,2018,4,Oppo,464753
Delhi,2018,4,Apple,279775
Delhi,2018,4,Realme,181855
Delhi,2018,4,Motorola,165627
Delhi,2018,4,OnePlus,155837
Delhi,2018,4,Lenovo,98258
Delhi,2018,4,Huawei,84942
Delhi,2018,4,Others,495203
Delhi,2018,2,Xiaomi,708839
Delhi,2018,2,Samsung,532749
Delhi,2018,2,Vivo,313719
Delhi,2018,2,Oppo,254431
Delhi,2018,2,Apple,176650
Delhi,2018,2,Realme,113976
Delhi,2018,2,Motorola,107679
Delhi,2018,2,OnePlus,106333
Delhi,2018,2,Lenovo,66497
Delhi,2018,2,Huawei,50115
Delhi,2018,2,Others,325153
Delhi,2018,3,Xiaomi,908753
Delhi,2018,3,Samsung,673829
Delhi,2018,3,Vivo,424455
Delhi,2018,3,Oppo,332529
Delhi,2018,3,Apple,218858
Delhi,2018,3,Realme,140759
Delhi,2018,3,Motorola,133126
Delhi,2018,3,OnePlus,126799
Delhi,2018,3,Lenovo,80056
Delhi,2018,3,Huawei,63709
Delhi,2018,3,Others,402038
Delhi,2018,1,Xiaomi,529823
Delhi,2018,1,Samsung,407203
Delhi,2018,1,Vivo,223992
Delhi,2018,1,Oppo,186309
Delhi,2018,1,Apple,138507
Delhi,2018,1,Realme,88082
Delhi,2018,1,OnePlus,86368
Delhi,2018,1,Motorola,83639
Delhi,2018,1,Lenovo,52568
Delhi,2018,1,Huawei,37398
Delhi,2018,1,Others,253133
Tamil Nadu,2019,4,Xiaomi,2321854
Tamil Nadu,2019,4,Samsung,1803401
Tamil Nadu,2019,4,Vivo,1661144
Tamil Nadu,2019,4,Oppo,954430
Tamil Nadu,2019,4,Realme,385827
Tamil Nadu,2019,4,Motorola,364512
Tamil Nadu,2019,4,Huawei,329271
Tamil Nadu,2019,4,Apple,306135
Tamil Nadu,2019,4,Lenovo,283182
Tamil Nadu,2019,4,OnePlus,275013
Tamil Nadu,2019,4,Others,935724
Tamil Nadu,2019,2,Xiaomi,1811254
Tamil Nadu,2019,2,Samsung,1396893
Tamil Nadu,2019,2,Vivo,1196063
Tamil Nadu,2019,2,Oppo,697196
Tamil Nadu,2019,2,Motorola,303963
Tamil Nadu,2019,2,Realme,281300
Tamil Nadu,2019,2,Apple,254300
