state,district,year,quarter,user_count
Delhi,south district,2023,4,1296849
Delhi,central district,2023,4,1815323
Delhi,new delhi district,2023,4,1803952
Delhi,west district,2023,4,2732926
Delhi,south west district,2023,4,1484762
Delhi,south east delhi district,2023,4,2207076
Delhi,shahdara district,2023,4,1124343
Delhi,north east district,2023,4,1014509
Delhi,east district,2023,4,1367614
Delhi,north west district,2023,4,1933267
Delhi,north district,2023,4,1583005
Delhi,south district,2023,2,1209741
Delhi,central district,2023,2,1690547
Delhi,new delhi district,2023,2,1682305
Delhi,west district,2023,2,2546575
Delhi,south west district,2023,2,1383364
Delhi,south east delhi district,2023,2,2055408
Delhi,shahdara district,2023,2,1046614
Delhi,north east district,2023,2,942089
Delhi,east district,2023,2,1275831
Delhi,north west district,2023,2,1798636
Delhi,north district,2023,2,1471979
Delhi,south district,2023,3,1254751
Delhi,central district,2023,3,1754227
Delhi,new delhi district,2023,3,1744588
Delhi,west district,2023,3,2641529
Delhi,south west district,2023,3,1435544
Delhi,south east delhi district,2023,3,2133173
Delhi,shahdara district,2023,3,1086372
Delhi,north east district,2023,3,978886
Delhi,east district,2023,3,1322844
Delhi,north west district,2023,3,1866671
Delhi,north district,2023,3,1528582
Delhi,south district,2023,1,1167338
Delhi,central district,2023,1,1629248
Delhi,new delhi district,2023,1,1622600
Delhi,west district,2023,1,2453869
Delhi,south west district,2023,1,1333347
Delhi,south east delhi district,2023,1,1980915
Delhi,shahdara district,2023,1,1007880
Delhi,north east district,2023,1,906036
Delhi,east district,2023,1,1230290
Delhi,north west district,2023,1,1731494
Delhi,north district,2023,1,1416994
Delhi,south district,2019,4,533716
Delhi,central district,2019,4,711015
Delhi,new delhi district,2019,4,757888
Delhi,west district,2019,4,1081496
Delhi,south west district,2019,4,605482
Delhi,south east delhi district,2019,4,883080
Delhi,shahdara district,2019,4,425305
Delhi,north east district,2019,4,366088
Delhi,east district,2019,4,568283
Delhi,north west district,2019,4,758620
Delhi,north district,2019,4,598910
Delhi,south district,2019,2,453829
Delhi,central district,2019,2,596940
Delhi,new delhi district,2019,2,637526
Delhi,west district,2019,2,919096
Delhi,south west district,2019,2,519422
Delhi,south east delhi district,2019,2,749218
Delhi,shahdara district,2019,2,352312
Delhi,north east district,2019,2,298037
Delhi,east district,2019,2,487121
Delhi,north west district,2019,2,649377
Delhi,north district,2019,2,502570
Delhi,south district,2019,3,498200
Delhi,central district,2019,3,658985
Delhi,new delhi district,2019,3,705546
Delhi,west district,2019,3,1008836
Delhi,south west district,2019,3,567496
Delhi,south east delhi district,2019,3,821304
Delhi,shahdara district,2019,3,391827
Delhi,north east district,2019,3,334361
Delhi,east district,2019,3,532254
Delhi,north west district,2019,3,709448
Delhi,north district,2019,3,554029
Delhi,south district,2019,1,407519
Delhi,central district,2019,1,529918
Delhi,new delhi district,2019,1,558516
Delhi,west district,2019,1,820526
Delhi,south west district,2019,1,467571
Delhi,south east delhi district,2019,1,671667
Delhi,shahdara district,2019,1,310351
Delhi,north east district,2019,1,262131
Delhi,east district,2019,1,439639
Delhi,north west district,2019,1,583438
Delhi,north district,2019,1,447987
Delhi,south east district,2024,4,2320701
Delhi,south district,2024,4,1340531
Delhi,central district,2024,4,2040406
Delhi,new delhi district,2024,4,1676758
Delhi,west district,2024,4,2781222
Delhi,south west district,2024,4,1452225
Delhi,shahdara district,2024,4,1217468
Delhi,north east district,2024,4,1105024
Delhi,east district,2024,4,1285131
Delhi,north west district,2024,4,1953572
Delhi,north district,2024,4,1727450
Delhi,south district,2024,2,1395197
Delhi,central district,2024,2,1956609
Delhi,new delhi district,2024,2,1940666
Delhi,west district,2024,2,2945032
Delhi,south west district,2024,2,1599704
Delhi,south east delhi district,2024,2,2378417
Delhi,shahdara district,2024,2,1212695
Delhi,north east district,2024,2,1096309
Delhi,east district,2024,2,1471663
Delhi,north west district,2024,2,2085373
Delhi,north district,2024,2,1707431
Delhi,south east district,2024,3,2262427
Delhi,south district,2024,3,1307337
Delhi,central district,2024,3,1990109
Delhi,new delhi district,2024,3,1633520
Delhi,west district,2024,3,2715492
Delhi,south west district,2024,3,1419174
Delhi,shahdara district,2024,3,1189211
Delhi,north east district,2024,3,1077520
Delhi,east district,2024,3,1256144
Delhi,north west district,2024,3,1907401
Delhi,north district,2024,3,1686282
Delhi,south district,2024,1,1345231
Delhi,central district,2024,1,1884700
Delhi,new delhi district,2024,1,1871468
Delhi,west district,2024,1,2837958
Delhi,south west district,2024,1,1541622
Delhi,south east delhi district,2024,1,2291746
Delhi,shahdara district,2024,1,1167913
Delhi,north east district,2024,1,1054875
Delhi,east district,2024,1,1418866
Delhi,north west district,2024,1,2008098
Delhi,north district,2024,1,1644670
Delhi,south district,2020,4,699303
Delhi,central district,2020,4,962750
Delhi,new delhi district,2020,4,971715
Delhi,west district,2020,4,1451042
Delhi,south west district,2020,4,792331
Delhi,south east delhi district,2020,4,1174221
Delhi,shahdara district,2020,4,591192
Delhi,north east district,2020,4,525117
Delhi,east district,2020,4,734091
Delhi,north west district,2020,4,1019187
Delhi,north district,2020,4,827019
Delhi,south district,2020,2,608062
Delhi,central district,2020,2,821609
Delhi,new delhi district,2020,2,858515
Delhi,west district,2020,2,1243875
Delhi,south west district,2020,2,688199
Delhi,south east delhi district,2020,2,1011931
Delhi,shahdara district,2020,2,498710
Delhi,north east district,2020,2,437601
Delhi,east district,2020,2,641233
Delhi,north west district,2020,2,877218
Delhi,north district,2020,2,704186
Delhi,south district,2020,3,651616
Delhi,central district,2020,3,888536
Delhi,new delhi district,2020,3,912051
Delhi,west district,2020,3,1343895
Delhi,south west district,2020,3,739034
Delhi,south east delhi district,2020,3,1088989
Delhi,shahdara district,2020,3,543831
Delhi,north east district,2020,3,479924
Delhi,east district,2020,3,685955
Delhi,north west district,2020,3,946954
Delhi,north district,2020,3,763389
Delhi,south district,2020,1,570329
Delhi,central district,2020,1,765149
Delhi,new delhi district,2020,1,810489
Delhi,west district,2020,1,1160353
Delhi,south west district,2020,1,644981
Delhi,south east delhi district,2020,1,947535
Delhi,shahdara district,2020,1,460186
Delhi,north east district,2020,1,399504
Delhi,east district,2020,1,604768
Delhi,north west district,2020,1,814249
Delhi,north district,2020,1,648654
Delhi,south district,2022,4,1117981
Delhi,central district,2022,4,1558400
Delhi,new delhi district,2022,4,1552874
Delhi,west district,2022,4,2348063
Delhi,south west district,2022,4,1275864
Delhi,south east delhi district,2022,4,1894776
Delhi,shahdara district,2022,4,963656
Delhi,north east district,2022,4,864990
Delhi,east district,2022,4,1177294
Delhi,north west district,2022,4,1655730
Delhi,north district,2022,4,1354521
Delhi,south district,2022,2,1013938
Delhi,central district,2022,2,1409776
Delhi,new delhi district,2022,2,1406687
Delhi,west district,2022,2,2124626
Delhi,south west district,2022,2,1155288
Delhi,south east delhi district,2022,2,1714507
Delhi,shahdara district,2022,2,870461
Delhi,north east district,2022,2,779621
Delhi,east district,2022,2,1066632
Delhi,north west district,2022,2,1496002
Delhi,north district,2022,2,1222605
Delhi,south district,2022,3,1065631
Delhi,central district,2022,3,1483786
Delhi,new delhi district,2022,3,1479669
Delhi,west district,2022,3,2235907
Delhi,south west district,2022,3,1215697
Delhi,south east delhi district,2022,3,1804123
Delhi,shahdara district,2022,3,917096
Delhi,north east district,2022,3,822038
Delhi,east district,2022,3,1121596
Delhi,north west district,2022,3,1575473
Delhi,north district,2022,3,1288507
Delhi,south district,2022,1,963775
Delhi,central district,2022,1,1338465
Delhi,new delhi district,2022,1,1336911
Delhi,west district,2022,1,2017435
Delhi,south west district,2022,1,1097016
Delhi,south east delhi district,2022,1,1628157
Delhi,shahdara district,2022,1,826148
Delhi,north east district,2022,1,739301
Delhi,east district,2022,1,1013024
Delhi,north west district,2022,1,1419688
Delhi,north district,2022,1,1159277
Delhi,south district,2021,4,911399
Delhi,central district,2021,4,1263911
Delhi,new delhi district,2021,4,1263818
Delhi,west district,2021,4,1905278
Delhi,south west district,2021,4,1036466
Delhi,south east delhi district,2021,4,1537814
Delhi,shahdara district,2021,4,779798
Delhi,north east district,2021,4,696743
Delhi,east district,2021,4,957392
Delhi,north west district,2021,4,1339480
Delhi,north district,2021,4,1093028
Delhi,south district,2021,2,799590
Delhi,central district,2021,2,1105640
Delhi,new delhi district,2021,2,1108471
Delhi,west district,2021,2,1666267
Delhi,south west district,2021,2,906878
Delhi,south east delhi district,2021,2,1346063
Delhi,shahdara district,2021,2,681073
Delhi,north east district,2021,2,607021
Delhi,east district,2021,2,839185
Delhi,north west district,2021,2,1170137
Delhi,north district,2021,2,952374
Delhi,south district,2021,3,855177
Delhi,central district,2021,3,1184217
Delhi,new delhi district,2021,3,1185588
Delhi,west district,2021,3,1785309
Delhi,south west district,2021,3,971552
Delhi,south east delhi district,2021,3,1441462
Delhi,shahdara district,2021,3,730209
Delhi,north east district,2021,3,651695
Delhi,east district,2021,3,898137
Delhi,north west district,2021,3,1254464
Delhi,north district,2021,3,1022251
Delhi,south district,2021,1,749173
