state,district,year,quarter,transaction_count,transaction_amount
Delhi,south district,2023,4,47263751,49217789026.0
Delhi,central district,2023,4,73391621,108685950109.0
Delhi,new delhi district,2023,4,70788153,77725370165.0
Delhi,west district,2023,4,77741144,114164241444.0
Delhi,south west district,2023,4,45782050,59373267213.0
Delhi,south east delhi district,2023,4,81901206,92211250667.0
Delhi,shahdara district,2023,4,30001836,52825059811.0
Delhi,north east district,2023,4,29422483,50548947037.0
Delhi,east district,2023,4,43082162,50886137378.0
Delhi,north west district,2023,4,49542115,74621203545.0
Delhi,north district,2023,4,49234225,69390502954.0
Delhi,south district,2023,2,38797761,41499044092.0
Delhi,central district,2023,2,57622069,86092311109.0
Delhi,new delhi district,2023,2,57173491,64569798729.0
Delhi,west district,2023,2,62944946,95782240128.0
Delhi,south west district,2023,2,36917006,49688361980.0
Delhi,south east delhi district,2023,2,66237557,78214516249.0
Delhi,shahdara district,2023,2,23083531,41909976096.0
Delhi,north east district,2023,2,22434191,39076228438.0
Delhi,east district,2023,2,36042935,43552662240.0
Delhi,north west district,2023,2,40527597,63155058402.0
Delhi,north district,2023,2,40357914,58188318194.0
Delhi,south district,2023,3,44793802,45520647764.0
Delhi,central district,2023,3,63523786,90738331879.0
Delhi,new delhi district,2023,3,64482143,69220641303.0
Delhi,west district,2023,3,72448584,102906527096.0
Delhi,south west district,2023,3,42925892,54916853763.0
Delhi,south east delhi district,2023,3,74833594,83210641938.0
Delhi,shahdara district,2023,3,25892515,43115840667.0
Delhi,north east district,2023,3,25363870,40819069162.0
Delhi,east district,2023,3,40696568,46476789040.0
Delhi,north west district,2023,3,45854816,67892826766.0
Delhi,north district,2023,3,45891413,63381082060.0
Delhi,south district,2023,1,32534127,37497668457.0
Delhi,central district,2023,1,49681285,81500812610.0
Delhi,new delhi district,2023,1,48280973,58799219994.0
Delhi,west district,2023,1,53494049,88637227473.0
Delhi,south west district,2023,1,31119622,45110662539.0
Delhi,south east delhi district,2023,1,56901581,72188090661.0
Delhi,shahdara district,2023,1,19779351,39855441084.0
